#step   T      Ekin       Ethermo     E_LJ      E_LJ_corr   E_LJ_tot   Econs
13600000  338.3  1.800E+02  2.287E+01  -1.799E+01  -6.168E-01  -1.860E+01  1.386E+02
13700000  337.7  1.797E+02  2.287E+01  -1.766E+01  -6.168E-01  -1.828E+01  1.386E+02
13800000  337.0  1.793E+02  2.294E+01  -1.721E+01  -6.168E-01  -1.783E+01  1.386E+02
13900000  336.1  1.788E+02  2.294E+01  -1.671E+01  -6.168E-01  -1.733E+01  1.386E+02
14000000  324.5  1.727E+02  1.720E+01  -1.627E+01  -6.168E-01  -1.689E+01  1.386E+02
14100000  328.3  1.747E+02  1.948E+01  -1.605E+01  -6.168E-01  -1.667E+01  1.386E+02
14200000  327.2  1.741E+02  1.882E+01  -1.611E+01  -6.168E-01  -1.673E+01  1.386E+02
14300000  332.5  1.769E+02  2.148E+01  -1.628E+01  -6.168E-01  -1.689E+01  1.386E+02
14400000  336.4  1.790E+02  2.338E+01  -1.647E+01  -6.168E-01  -1.709E+01  1.386E+02
14500000  336.9  1.793E+02  2.349E+01  -1.662E+01  -6.168E-01  -1.724E+01  1.386E+02
14600000  322.9  1.718E+02  1.599E+01  -1.667E+01  -6.168E-01  -1.729E+01  1.386E+02
14700000  322.8  1.718E+02  1.599E+01  -1.658E+01  -6.168E-01  -1.720E+01  1.386E+02
14800000  316.2  1.682E+02  1.273E+01  -1.634E+01  -6.168E-01  -1.696E+01  1.386E+02
14900000  323.1  1.719E+02  1.681E+01  -1.595E+01  -6.168E-01  -1.656E+01  1.386E+02
15000000  317.2  1.688E+02  1.418E+01  -1.541E+01  -6.168E-01  -1.602E+01  1.386E+02
15100000  310.9  1.654E+02  1.157E+01  -1.467E+01  -6.168E-01  -1.528E+01  1.386E+02
15200000  298.0  1.585E+02  5.760E+00  -1.361E+01  -6.168E-01  -1.422E+01  1.386E+02
15300000  297.4  1.583E+02  7.090E+00  -1.199E+01  -6.168E-01  -1.260E+01  1.386E+02
15400000  293.9  1.564E+02  7.090E+00  -1.013E+01  -6.168E-01  -1.075E+01  1.386E+02
15500000  290.2  1.544E+02  5.754E+00  -9.482E+00  -6.168E-01  -1.010E+01  1.386E+02
15600000  293.0  1.559E+02  5.754E+00  -1.098E+01  -6.168E-01  -1.159E+01  1.386E+02
15700000  317.0  1.687E+02  1.607E+01  -1.344E+01  -6.168E-01  -1.406E+01  1.386E+02
15800000  324.0  1.724E+02  1.786E+01  -1.535E+01  -6.168E-01  -1.597E+01  1.386E+02
15900000  325.9  1.734E+02  1.786E+01  -1.637E+01  -6.168E-01  -1.699E+01  1.386E+02
16000000  327.7  1.744E+02  1.853E+01  -1.669E+01  -6.168E-01  -1.731E+01  1.386E+02
16100000  333.7  1.776E+02  2.176E+01  -1.665E+01  -6.168E-01  -1.727E+01  1.386E+02
16200000  315.6  1.680E+02  1.218E+01  -1.659E+01  -6.168E-01  -1.721E+01  1.386E+02
16300000  315.4  1.678E+02  1.218E+01  -1.645E+01  -6.168E-01  -1.707E+01  1.386E+02
16400000  314.8  1.675E+02  1.218E+01  -1.615E+01  -6.168E-01  -1.677E+01  1.386E+02
16500000  312.5  1.663E+02  1.154E+01  -1.559E+01  -6.168E-01  -1.620E+01  1.386E+02
16600000  291.6  1.552E+02  1.238E+00  -1.477E+01  -6.168E-01  -1.539E+01  1.386E+02
16700000  286.7  1.526E+02  -3.822E-01  -1.378E+01  -6.168E-01  -1.440E+01  1.386E+02
16800000  285.1  1.517E+02  -3.822E-01  -1.292E+01  -6.168E-01  -1.354E+01  1.386E+02
16900000  284.5  1.514E+02  -3.822E-01  -1.261E+01  -6.168E-01  -1.323E+01  1.386E+02
17000000  285.0  1.516E+02  -5.689E-01  -1.303E+01  -6.168E-01  -1.364E+01  1.386E+02
17100000  286.5  1.525E+02  -5.689E-01  -1.386E+01  -6.168E-01  -1.447E+01  1.386E+02
17200000  288.0  1.533E+02  -5.689E-01  -1.466E+01  -6.168E-01  -1.528E+01  1.386E+02
17300000  288.9  1.537E+02  -5.689E-01  -1.512E+01  -6.168E-01  -1.574E+01  1.386E+02
17400000  293.9  1.564E+02  2.080E+00  -1.512E+01  -6.168E-01  -1.574E+01  1.386E+02
17500000  300.1  1.597E+02  5.671E+00  -1.483E+01  -6.168E-01  -1.545E+01  1.386E+02
17600000  302.7  1.611E+02  7.290E+00  -1.460E+01  -6.168E-01  -1.522E+01  1.386E+02
17700000  304.3  1.619E+02  8.166E+00  -1.456E+01  -6.168E-01  -1.518E+01  1.386E+02
17800000  296.4  1.577E+02  4.027E+00  -1.451E+01  -6.168E-01  -1.512E+01  1.386E+02
17900000  296.6  1.578E+02  4.244E+00  -1.443E+01  -6.168E-01  -1.504E+01  1.386E+02
18000000  299.1  1.592E+02  5.552E+00  -1.442E+01  -6.168E-01  -1.504E+01  1.386E+02
18100000  299.2  1.592E+02  5.552E+00  -1.450E+01  -6.168E-01  -1.512E+01  1.386E+02
18200000  295.9  1.574E+02  3.767E+00  -1.449E+01  -6.168E-01  -1.510E+01  1.386E+02
18300000  290.4  1.545E+02  1.742E+00  -1.362E+01  -6.168E-01  -1.423E+01  1.386E+02
18400000  286.4  1.524E+02  1.904E+00  -1.129E+01  -6.168E-01  -1.191E+01  1.386E+02
18500000  285.0  1.517E+02  1.904E+00  -1.060E+01  -6.168E-01  -1.121E+01  1.386E+02
18600000  289.7  1.542E+02  1.904E+00  -1.308E+01  -6.168E-01  -1.370E+01  1.386E+02
18700000  296.4  1.577E+02  3.894E+00  -1.467E+01  -6.168E-01  -1.529E+01  1.386E+02
18800000  319.5  1.700E+02  1.595E+01  -1.486E+01  -6.168E-01  -1.548E+01  1.386E+02
18900000  318.7  1.696E+02  1.595E+01  -1.446E+01  -6.168E-01  -1.508E+01  1.386E+02
19000000  315.6  1.679E+02  1.460E+01  -1.413E+01  -6.168E-01  -1.475E+01  1.386E+02
19100000  316.2  1.682E+02  1.476E+01  -1.429E+01  -6.168E-01  -1.491E+01  1.386E+02
19200000  324.3  1.726E+02  1.856E+01  -1.485E+01  -6.168E-01  -1.547E+01  1.386E+02
19300000  327.9  1.745E+02  1.989E+01  -1.540E+01  -6.168E-01  -1.602E+01  1.386E+02
19400000  322.7  1.717E+02  1.702E+01  -1.552E+01  -6.168E-01  -1.614E+01  1.386E+02
19500000  319.7  1.701E+02  1.600E+01  -1.493E+01  -6.168E-01  -1.555E+01  1.386E+02
19600000  315.6  1.680E+02  1.520E+01  -1.358E+01  -6.168E-01  -1.420E+01  1.386E+02
19700000  307.6  1.637E+02  1.257E+01  -1.195E+01  -6.168E-01  -1.256E+01  1.386E+02
19800000  311.0  1.655E+02  1.555E+01  -1.074E+01  -6.168E-01  -1.136E+01  1.386E+02
19900000  299.8  1.595E+02  1.048E+01  -9.868E+00  -6.168E-01  -1.048E+01  1.386E+02
20000000  305.3  1.625E+02  1.493E+01  -8.355E+00  -6.168E-01  -8.972E+00  1.386E+02
20100000  302.9  1.612E+02  1.493E+01  -7.096E+00  -6.168E-01  -7.713E+00  1.386E+02
20200000  297.4  1.583E+02  1.078E+01  -8.315E+00  -6.168E-01  -8.932E+00  1.386E+02
20300000  301.5  1.605E+02  1.034E+01  -1.094E+01  -6.168E-01  -1.156E+01  1.386E+02
20400000  304.7  1.621E+02  1.034E+01  -1.263E+01  -6.168E-01  -1.325E+01  1.386E+02
20500000  307.8  1.638E+02  1.103E+01  -1.359E+01  -6.168E-01  -1.420E+01  1.386E+02
20600000  296.8  1.579E+02  4.206E+00  -1.455E+01  -6.168E-01  -1.517E+01  1.386E+02
20700000  290.9  1.548E+02  1.809E-01  -1.541E+01  -6.168E-01  -1.603E+01  1.386E+02
20800000  278.5  1.482E+02  -6.759E+00  -1.578E+01  -6.168E-01  -1.639E+01  1.386E+02
20900000  283.4  1.508E+02  -4.220E+00  -1.583E+01  -6.168E-01  -1.645E+01  1.386E+02
21000000  266.4  1.417E+02  -1.331E+01  -1.586E+01  -6.168E-01  -1.648E+01  1.386E+02
21100000  271.8  1.446E+02  -1.080E+01  -1.623E+01  -6.168E-01  -1.685E+01  1.386E+02
21200000  288.9  1.537E+02  -2.006E+00  -1.657E+01  -6.168E-01  -1.719E+01  1.386E+02
21300000  299.3  1.592E+02  3.352E+00  -1.672E+01  -6.168E-01  -1.733E+01  1.386E+02
21400000  299.6  1.594E+02  3.352E+00  -1.690E+01  -6.168E-01  -1.752E+01  1.386E+02
21500000  299.5  1.594E+02  3.352E+00  -1.684E+01  -6.168E-01  -1.745E+01  1.386E+02
21600000  293.7  1.563E+02  4.818E-01  -1.662E+01  -6.168E-01  -1.723E+01  1.386E+02
21700000  293.3  1.561E+02  4.818E-01  -1.641E+01  -6.168E-01  -1.703E+01  1.386E+02
21800000  277.8  1.478E+02  -7.767E+00  -1.639E+01  -6.168E-01  -1.700E+01  1.386E+02
21900000  278.0  1.479E+02  -7.767E+00  -1.653E+01  -6.168E-01  -1.714E+01  1.386E+02
22000000  278.4  1.481E+02  -7.767E+00  -1.671E+01  -6.168E-01  -1.733E+01  1.386E+02
22100000  283.9  1.511E+02  -4.960E+00  -1.683E+01  -6.168E-01  -1.745E+01  1.386E+02
22200000  288.6  1.536E+02  -2.416E+00  -1.681E+01  -6.168E-01  -1.743E+01  1.386E+02
22300000  289.6  1.541E+02  -1.682E+00  -1.661E+01  -6.168E-01  -1.723E+01  1.386E+02
22400000  288.9  1.537E+02  -1.682E+00  -1.621E+01  -6.168E-01  -1.683E+01  1.386E+02
